Date       1 mo       3 mo       6 mo       1 yr       2 yr       3 yr       5 yr       7 yr       10 yr      20 yr      30 yr      
08/01/18   1.93       2.03       2.22       2.45       2.67       2.78       2.87       2.96       3.0        3.07       3.13       
08/02/18   1.89       2.02       2.22       2.45       2.66       2.76       2.85       2.93       2.98       3.06       3.12       
08/03/18   1.9        2.01       2.23       2.43       2.63       2.74       2.82       2.91       2.95       3.03       3.09       
08/06/18   1.92       2.05       2.23       2.44       2.64       2.73       2.8        2.89       2.94       3.02       3.08       
08/07/18   1.96       2.06       2.23       2.45       2.68       2.76       2.84       2.92       2.98       3.06       3.12       
08/08/18   1.93       2.06       2.24       2.44       2.68       2.77       2.83       2.92       2.96       3.05       3.12       
08/09/18   1.91       2.06       2.25       2.44       2.64       2.74       2.8        2.89       2.93       3.01       3.08       
08/10/18   1.92       2.05       2.23       2.42       2.61       2.68       2.75       2.82       2.87       2.96       3.03       
08/13/18   1.93       2.06       2.22       2.42       2.61       2.68       2.75       2.82       2.88       2.97       3.05       
08/14/18   1.96       2.08       2.25       2.44       2.63       2.71       2.77       2.84       2.89       2.98       3.06       
08/15/18   1.96       2.07       2.23       2.45       2.61       2.68       2.73       2.81       2.86       2.95       3.03       
08/16/18   1.96       2.07       2.24       2.45       2.63       2.7        2.75       2.82       2.87       2.95       3.03       
08/17/18   1.95       2.05       2.24       2.44       2.61       2.68       2.75       2.82       2.87       2.95       3.03       
08/20/18   1.93       2.06       2.25       2.43       2.6        2.65       2.7        2.77       2.82       2.91       2.99       
08/21/18   1.94       2.08       2.25       2.45       2.61       2.67       2.73       2.8        2.85       2.93       3.0        
08/22/18   1.95       2.09       2.24       2.43       2.6        2.65       2.7        2.77       2.82       2.91       2.99       
08/23/18   1.94       2.08       2.23       2.43       2.61       2.66       2.72       2.78       2.82       2.9        2.97       
08/24/18   1.95       2.09       2.25       2.44       2.63       2.68       2.72       2.78       2.82       2.89       2.97       
08/27/18   1.96       2.12       2.25       2.47       2.67       2.7        2.74       2.81       2.85       2.92       3.0        
08/28/18   1.96       2.13       2.28       2.47       2.67       2.73       2.77       2.84       2.88       2.96       3.03       
08/29/18   1.97       2.13       2.28       2.48       2.67       2.75       2.78       2.85       2.89       2.96       3.02       
08/30/18   1.97       2.11       2.28       2.47       2.64       2.72       2.75       2.82       2.86       2.93       3.0        
08/31/18   1.95       2.11       2.28       2.46       2.62       2.7        2.74       2.81       2.86       2.95       3.02       
09/04/18   2.0        2.13       2.29       2.49       2.66       2.73       2.78       2.85       2.9        2.99       3.07       
09/05/18   2.0        2.14       2.3        2.49       2.66       2.72       2.77       2.85       2.9        3.0        3.08       
09/06/18   1.98       2.13       2.3        2.5        2.64       2.71       2.76       2.83       2.88       2.98       3.06       
09/07/18   1.98       2.14       2.3        2.53       2.71       2.78       2.82       2.89       2.94       3.03       3.11       
09/10/18   1.98       2.14       2.32       2.54       2.73       2.78       2.83       2.89       2.94       3.02       3.09       
09/11/18   2.02       2.15       2.31       2.55       2.76       2.83       2.87       2.94       2.98       3.06       3.13       
09/12/18   2.01       2.16       2.33       2.56       2.74       2.82       2.87       2.93       2.97       3.04       3.11       
09/13/18   2.01       2.15       2.33       2.55       2.76       2.83       2.87       2.93       2.97       3.04       3.11       
09/14/18   2.02       2.16       2.33       2.56       2.78       2.85       2.9        2.96       2.99       3.07       3.13       
09/17/18   2.02       2.16       2.35       2.57       2.78       2.85       2.89       2.96       2.99       3.07       3.13       
09/18/18   2.05       2.17       2.36       2.58       2.81       2.88       2.94       3.01       3.05       3.14       3.2        
09/19/18   2.03       2.16       2.36       2.58       2.81       2.89       2.96       3.04       3.08       3.16       3.23       
09/20/18   2.03       2.17       2.37       2.58       2.81       2.89       2.96       3.03       3.07       3.15       3.21       
09/21/18   2.05       2.18       2.38       2.58       2.81       2.89       2.95       3.03       3.07       3.14       3.2        
09/24/18   2.07       2.22       2.38       2.6        2.83       2.89       2.96       3.04       3.08       3.15       3.21       
09/25/18   2.12       2.21       2.38       2.59       2.83       2.91       2.99       3.06       3.1        3.17       3.23       
09/26/18   2.11       2.2        2.37       2.58       2.83       2.89       2.96       3.02       3.06       3.14       3.19       
09/27/18   2.1        2.18       2.37       2.58       2.83       2.89       2.96       3.02       3.06       3.13       3.19       
09/28/18   2.12       2.19       2.36       2.59       2.81       2.88       2.94       3.01       3.05       3.13       3.19       
10/01/18   2.13       2.23       2.4        2.6        2.82       2.9        2.96       3.04       3.09       3.18       3.24       
10/02/18   2.14       2.23       2.41       2.61       2.82       2.88       2.94       3.01       3.05       3.14       3.2        
10/03/18   2.15       2.23       2.41       2.62       2.85       2.94       3.02       3.1        3.15       3.24       3.3        
10/04/18   2.16       2.22       2.42       2.63       2.87       2.97       3.05       3.14       3.19       3.29       3.35       
10/05/18   2.15       2.23       2.41       2.64       2.88       2.99       3.07       3.18       3.23       3.34       3.4        
10/09/18   2.17       2.25       2.46       2.65       2.88       2.98       3.05       3.15       3.21       3.3        3.37       
10/10/18   2.18       2.27       2.45       2.67       2.88       2.97       3.05       3.15       3.22       3.33       3.39       
10/11/18   2.14       2.27       2.44       2.66       2.85       2.94       3.0        3.09       3.14       3.25       3.32       
10/12/18   2.14       2.28       2.44       2.66       2.85       2.93       3.0        3.09       3.15       3.25       3.32       
10/15/18   2.17       2.31       2.47       2.67       2.85       2.94       3.01       3.1        3.16       3.27       3.34       
10/16/18   2.19       2.3        2.46       2.66       2.87       2.95       3.02       3.1        3.16       3.26       3.32       
10/17/18   2.2        2.31       2.47       2.66       2.89       2.97       3.04       3.13       3.19       3.29       3.35       
10/18/18   2.19       2.32       2.47       2.67       2.87       2.95       3.03       3.11       3.17       3.28       3.36       
10/19/18   2.19       2.31       2.48       2.67       2.92       2.99       3.05       3.14       3.2        3.31       3.38       
10/22/18   2.18       2.34       2.49       2.68       2.92       2.99       3.05       3.13       3.2        3.31       3.38       
10/23/18   2.21       2.33       2.48       2.67       2.89       2.95       3.01       3.1        3.17       3.29       3.37       
10/24/18   2.2        2.34       2.47       2.64       2.84       2.89       2.94       3.02       3.1        3.24       3.33       
10/25/18   2.19       2.34       2.47       2.66       2.86       2.92       2.98       3.07       3.14       3.27       3.35       
10/26/18   2.16       2.33       2.47       2.63       2.81       2.85       2.91       3.0        3.08       3.23       3.32       
10/29/18   2.17       2.34       2.49       2.64       2.81       2.86       2.91       3.0        3.08       3.23       3.33       
10/30/18   2.21       2.33       2.48       2.66       2.84       2.9        2.94       3.03       3.12       3.26       3.36       
10/31/18   2.2        2.34       2.49       2.69       2.87       2.93       2.98       3.07       3.15       3.3        3.39       
11/01/18   2.21       2.32       2.49       2.67       2.84       2.91       2.96       3.06       3.14       3.29       3.38       
11/02/18   2.19       2.33       2.5        2.7        2.91       2.98       3.04       3.13       3.22       3.37       3.46       
11/05/18   2.2        2.36       2.51       2.71       2.91       2.99       3.03       3.12       3.2        3.34       3.43       
11/06/18   2.23       2.35       2.52       2.72       2.93       3.01       3.05       3.14       3.22       3.35       3.43       
11/07/18   2.23       2.37       2.51       2.74       2.96       3.03       3.07       3.15       3.22       3.35       3.43       
11/08/18   2.21       2.35       2.52       2.74       2.98       3.05       3.09       3.17       3.24       3.36       3.43       
11/09/18   2.21       2.36       2.52       2.73       2.94       3.01       3.05       3.13       3.19       3.32       3.4        
11/13/18   2.24       2.38       2.53       2.72       2.89       2.95       2.99       3.07       3.14       3.28       3.36       
11/14/18   2.24       2.38       2.52       2.71       2.86       2.92       2.95       3.04       3.12       3.26       3.35       
11/15/18   2.2        2.37       2.51       2.7        2.86       2.91       2.94       3.02       3.11       3.27       3.36       
11/16/18   2.21       2.36       2.5        2.68       2.81       2.85       2.9        2.99       3.08       3.23       3.33       
11/19/18   2.23       2.38       2.52       2.66       2.79       2.82       2.87       2.97       3.06       3.22       3.32       
11/20/18   2.23       2.39       2.51       2.67       2.79       2.83       2.88       2.97       3.06       3.22       3.31       
11/21/18   2.25       2.41       2.52       2.67       2.81       2.84       2.89       2.98       3.06       3.22       3.31       
11/23/18   2.25       2.41       2.52       2.67       2.81       2.83       2.88       2.97       3.05       3.21       3.31       
11/26/18   2.24       2.41       2.54       2.7        2.84       2.86       2.9        2.98       3.07       3.22       3.32       
11/27/18   2.31       2.41       2.53       2.7        2.83       2.86       2.89       2.98       3.06       3.22       3.32       
11/28/18   2.31       2.4        2.53       2.69       2.81       2.84       2.87       2.97       3.06       3.23       3.34       
11/29/18   2.31       2.37       2.52       2.69       2.81       2.83       2.85       2.94       3.03       3.21       3.33       
11/30/18   2.31       2.37       2.52       2.7        2.8        2.83       2.84       2.92       3.01       3.19       3.3        
12/03/18   2.3        2.38       2.56       2.72       2.83       2.84       2.83       2.9        2.98       3.15       3.27       
12/04/18   2.37       2.42       2.58       2.71       2.8        2.81       2.79       2.84       2.91       3.05       3.16       
12/06/18   2.36       2.41       2.56       2.7        2.75       2.76       2.75       2.8        2.87       3.01       3.14       
12/07/18   2.32       2.4        2.54       2.68       2.72       2.72       2.7        2.77       2.85       3.01       3.14       
12/10/18   2.32       2.41       2.54       2.69       2.72       2.73       2.71       2.77       2.85       3.0        3.13       
12/11/18   2.28       2.41       2.55       2.7        2.78       2.78       2.75       2.81       2.89       3.02       3.13       
12/12/18   2.3        2.43       2.56       2.7        2.77       2.78       2.77       2.84       2.91       3.04       3.15       
12/13/18   2.36       2.43       2.56       2.69       2.75       2.76       2.75       2.83       2.91       3.05       3.16       
12/14/18   2.36       2.42       2.56       2.68       2.73       2.72       2.73       2.81       2.89       3.03       3.14       
12/17/18   2.36       2.4        2.54       2.66       2.7        2.68       2.69       2.77       2.86       3.0        3.11       
12/18/18   2.35       2.39       2.53       2.64       2.65       2.64       2.65       2.74       2.82       2.96       3.07       
12/19/18   2.35       2.4        2.54       2.62       2.63       2.61       2.62       2.69       2.77       2.89       3.0        
12/20/18   2.42       2.39       2.55       2.64       2.67       2.65       2.65       2.72       2.79       2.92       3.02       
12/21/18   2.41       2.39       2.54       2.62       2.63       2.61       2.64       2.72       2.79       2.92       3.03       
12/24/18   2.42       2.45       2.52       2.61       2.55       2.56       2.58       2.66       2.74       2.88       3.0        
12/26/18   2.41       2.44       2.54       2.61       2.61       2.6        2.67       2.74       2.81       2.94       3.06       
12/27/18   2.43       2.41       2.49       2.58       2.56       2.55       2.6        2.68       2.77       2.92       3.05       
12/28/18   2.39       2.4        2.48       2.57       2.52       2.5        2.56       2.63       2.72       2.89       3.04       
12/31/18   2.44       2.45       2.56       2.63       2.48       2.46       2.51       2.59       2.69       2.87       3.02       
