Index,Analysis ,PopularSkills,NumberofDataProfiles
0,FALSE,Merchandising,"4,452"
0,FALSE,Metal Inert Gas (MIG) Welding,"2,370"
0,FALSE,Microsoft Active Directory,"4,878"
0,FALSE,Microsoft Excel,"67,892"
0,FALSE,Microsoft Office,"59,780"
0,FALSE,Microsoft Project,"1,287"
0,FALSE,Microsoft SQL Server,"3,812"
0,FALSE,Microsoft Word,"9,904"
0,FALSE,Molecular Biology,"2,014"
0,FALSE,Month-End Close,"4,234"
0,FALSE,Mortgage Loans,"1,306"
0,FALSE,Negotiation,"6,000"
0,FALSE,Neonatal Intensive Care Unit (NICU),"1,046"
0,FALSE,Network Management / Administration,"7,476"
0,FALSE,Network Support,"2,658"
0,FALSE,New Business Development,"3,441"
0,FALSE,Node.js,"1,237"
0,FALSE,Nutrition,"1,427"
0,FALSE,Obstetrics/Gynecology (OB/GYN),"1,892"
0,FALSE,Office Administration,"26,485"
0,FALSE,Office Management,"15,167"
0,FALSE,On-Boarding,"1,057"
0,FALSE,Oncology,"1,776"
0,FALSE,Online Marketing,"2,562"
0,FALSE,Online Research,"1,069"
0,FALSE,Operating Room / OR,"2,938"
0,FALSE,Operations Management,"53,941"
0,FALSE,Oral / Verbal Communication,"21,102"
0,FALSE,Oral Surgery,"1,550"
0,FALSE,Order Inventory,"7,141"
0,FALSE,Organizational Development,"4,265"
0,FALSE,Organizing,"8,605"
0,FALSE,Orthopedics,"5,003"
0,FALSE,OSHA Compliance,"2,648"
0,FALSE,Packaging,"2,472"
0,FALSE,Patient Counseling,"2,929"
0,FALSE,Patient Education,"9,347"
0,FALSE,Paying Invoices,"1,885"
0,FALSE,Payroll Administration,"10,636"
0,FALSE,Payroll Tax Compliance,"1,138"
0,FALSE,Pediatrics,"6,596"
0,FALSE,People Management,"58,047"
0,FALSE,Performance Management,"5,239"
0,FALSE,Phlebotomy,"7,840"
0,FALSE,Phone Support,"5,944"
0,FALSE,PHP,"2,050"
0,FALSE,Physical Therapy,"4,026"
0,FALSE,Picking,"3,417"
0,FALSE,Plant Maintenance,"2,714"
0,FALSE,Plumbing,"4,351"
0,FALSE,Precision Machining,"2,507"
0,FALSE,Precision Measurement,"3,532"
0,FALSE,Presentations,"1,086"
0,FALSE,Problem Solving,"12,043"
0,FALSE,Process Improvement,"11,328"
0,FALSE,Procurement,"4,757"
0,FALSE,Product Development,"9,838"
0,FALSE,Product Management,"5,735"
0,FALSE,Product Marketing,"2,445"
0,FALSE,Production Management,"5,501"
0,FALSE,Production Support,"1,658"
0,FALSE,Program Development,"3,527"
0,FALSE,Program Management,"9,559"
0,FALSE,Programmable Logic Controllers (PLC) / Automation,"2,959"
0,FALSE,Project Coordinating,"11,425"
0,FALSE,Project Management,"81,813"
0,FALSE,Property Management,"3,892"
0,FALSE,Proposal Writing,"1,231"
0,FALSE,Psychiatric,"2,809"
0,FALSE,Public Speaking,"3,437"
0,FALSE,Purchasing,"3,487"
0,FALSE,Python,"8,549"
0,FALSE,Quality Assurance / Quality Control,"17,469"
0,FALSE,Quality Improvement / QA,"4,278"
0,FALSE,R,"1,568"
0,FALSE,Radiology,"7,370"
0,FALSE,React.js,"2,181"
0,FALSE,Real Estate,"2,295"
0,FALSE,Reconciliation,"1,661"
0,FALSE,Recovery / Post-Anesthesia Care Unit (PACU),"1,164"
0,FALSE,Recruiting,"9,860"
0,FALSE,Regulatory Compliance,"8,984"
0,FALSE,Rehabilitation,"9,626"
1,TRUE,Requirements Analysis,"3,442"
1,TRUE,Research Analysis,"8,444"
0,FALSE,Residential,"3,610"
0,FALSE,Retail,"7,564"
0,FALSE,Retail Pharmacy,"3,631"
0,FALSE,Risk Management / Risk Control,"6,929"
0,FALSE,Safety Compliance,"9,949"
0,FALSE,Safety Training,"1,239"
0,FALSE,Sales,"14,833"
0,FALSE,Sales Management,"12,809"
0,FALSE,Salesforce,"2,529"
0,FALSE,Scheduling,"27,639"
0,FALSE,Search Engine Optimization (SEO),"1,897"
0,FALSE,Security Policies and Procedures,"3,790"
0,FALSE,Security Risk Management,"2,223"
0,FALSE,Senior Financial Management,"1,625"
0,FALSE,Shipping,"6,731"
0,FALSE,Social Media Marketing,"11,542"
0,FALSE,Software Architecture,"2,798"
0,FALSE,Software Development,"2,983"
0,FALSE,Software Knowledge,"1,404"
0,FALSE,Software Test,"1,415"
0,FALSE,Soldering,"1,309"
0,FALSE,SolidWorks,"5,217"
0,FALSE,Sonography,"1,059"
0,FALSE,Sourcing,"3,015"
0,FALSE,Spanish Language,"3,247"
0,FALSE,Speech Pathology,"1,394"
0,FALSE,SQL,"20,476"
1,TRUE,Statistical Analysis,"3,675"
0,FALSE,Strategic Marketing,"10,965"
0,FALSE,Strategic Planning,"21,450"
0,FALSE,Strategic Project Management,"7,361"
0,FALSE,Strategic Sales,"3,277"
0,FALSE,Strategy,"2,026"
0,FALSE,Strategy Development,"1,500"
0,FALSE,Supplier Management,"1,712"
0,FALSE,Supply Chain,"2,891"
0,FALSE,Surgery,"2,623"
0,FALSE,Switching and Routing,"1,467"
0,FALSE,System Administration,"4,579"
0,FALSE,System Repair,"4,679"
0,FALSE,System Testing,"1,985"
0,FALSE,Systems Engineering,"2,651"
0,FALSE,Systems Troubleshooting,"10,121"
0,FALSE,Tableau Software,"1,687"
0,FALSE,Tax Compliance,"2,578"
0,FALSE,Tax Consulting,"1,485"
0,FALSE,Tax Preparation,"3,796"
0,FALSE,Team Leadership,"32,084"
0,FALSE,Team Management,"3,109"
1,TRUE,Technical Analysis,"5,777"
0,FALSE,Technical Sales,"2,712"
0,FALSE,Technical Services,"3,806"
0,FALSE,Technical Writing,"4,358"
0,FALSE,Telecommunications,"1,284"
0,FALSE,Telemetry,"4,205"
0,FALSE,Test Automation,"1,942"
0,FALSE,Test Engineering,"1,810"
0,FALSE,Test Planning,"1,902"
0,FALSE,Tools,"2,146"
0,FALSE,Training,"16,873"
0,FALSE,Training Management,"1,890"
0,FALSE,Training Program Development,"4,878"
0,FALSE,Transport,"4,984"
0,FALSE,Travel Planning,"3,182"
0,FALSE,Triage,"3,176"
0,FALSE,Troubleshooting,"20,090"
0,FALSE,Tungsten Inert Gas (TIG) Welding,"1,448"
0,FALSE,Typing,"4,903"
0,FALSE,User Experience (UX) Design,"3,677"
0,FALSE,User Interface Design,"2,274"
0,FALSE,User Research,"1,665"
0,FALSE,Vendor Management,"3,027"
0,FALSE,Video Editing,"2,927"
0,FALSE,VMware ESX,"1,829"
0,FALSE,Web Content Management,"3,501"
0,FALSE,Web Design,"2,223"
0,FALSE,Web Development,"2,047"
0,FALSE,Welding,"3,815"
0,FALSE,Window or Door Installation,"2,003"
0,FALSE,Windows Operating System General Use,"3,971"
0,FALSE,Windows Server 2012 R2,"1,837"
0,FALSE,Wound Care,"2,686"
0,FALSE,Writing Procedures & Documentation,"3,833"
